Impl,N,ns,ns/op
naive,4500,1807524500,0.5436672357183816
naive,3500,1078995000,0.536555488989878
naive,3500,1094969200,0.5444990333920505
naive,1500,208267100,0.564252534200243
naive,3000,843248900,0.5708316880903515
naive,1000,95953500,0.5853757473746352
naive,2500,563202900,0.5490776790387634
naive,3000,804432100,0.5445549156329363
naive,4000,1376719400,0.5241083010141703
naive,4000,1418511700,0.5400183632595883
naive,2000,364178400,0.5548144319930595
naive,2000,346811300,0.5283561969031512
naive,500,24281500,0.5934749359829684
naive,4000,1377185900,0.5242858945909173
naive,3000,829972300,0.5618441827522473
naive,1500,199637400,0.5408723167084364
naive,3500,1125491100,0.5596767617220244
naive,4500,1804910700,0.5428810569303648
naive,500,23702200,0.5793160071517622
naive,2000,387476200,0.5903079035270326
naive,1000,95228500,0.5809527985833289
naive,1500,204072500,0.5528882155922807
naive,4500,1746034900,0.5251723932653865
naive,2500,535251400,0.5218272072360578
naive,2000,328526500,0.5004998744905459
naive,4000,1467614000,0.5587112959144838
naive,3000,803841700,0.544155248312115
naive,5000,2187206400,0.5328180772834574
naive,2500,543018600,0.5293996045881132
naive,4000,1456543400,0.5544967890533126
naive,4500,1784675500,0.5367947132884343
naive,500,23038800,0.5631015528334087
naive,5000,2164481200,0.5272820668868702
naive,5000,2260535200,0.5506814623876264
naive,4000,1414186700,0.5383718633251163
naive,500,20013500,0.4891588506185836
naive,1500,206611900,0.5597681447090165
naive,1500,199231400,0.5397723516689016
naive,4500,1769797700,0.5323197684677301
naive,1000,96354400,0.5878214855407521
naive,3000,792002800,0.5361409843479013
naive,3000,803203500,0.543723223101837
naive,500,23964800,0.5857343304921294
naive,500,24302000,0.5939759855963634
naive,1000,83413900,0.5088764250802011
naive,3000,775714900,0.525114999668352
naive,500,19809000,0.48416057520691147
naive,3500,1054394500,0.5243223152431087
naive,2000,386871500,0.5893866619404196
naive,2000,357856800,0.5451836715929717
naive,4000,1454334800,0.5536559891098964
naive,1000,87300800,0.5325889211587232
naive,4000,1387487200,0.5282075338452471
naive,3500,1107982400,0.5509701513206073
naive,2500,556774800,0.5428107968394191
naive,1000,86534400,0.5279134067398858
naive,500,20505300,0.5011791530511526
naive,5000,2189853200,0.5334628554292025
naive,1000,80074700,0.48850523804029766
naive,3500,1056740700,0.5254890180436481
naive,3000,781488600,0.5290234671653475
naive,5000,2154307700,0.5248037343850801
naive,1500,196502900,0.5323800989339984
naive,2500,537515100,0.5240341332693578
naive,1000,91708100,0.5594761793765499
naive,4500,1818581100,0.5469928399679749
naive,1500,190053200,0.5149060976643245
naive,2500,553445600,0.5395650937206037
naive,4000,1433708700,0.545803764301015
naive,2500,589974500,0.5751778429266875
naive,4500,1796820000,0.5404475361100237
naive,3500,1078250400,0.5361852192322778
naive,4500,1731573700,0.5208227533965101
naive,500,22839400,0.5582279287889714
naive,3000,811386900,0.5492629208545629
naive,2500,522400400,0.5092985124205177
naive,1000,83921100,0.5119706590484089
naive,2500,570346300,0.5560419213969712
naive,1500,184100000,0.49877725068560874
naive,2000,324814900,0.494845367672499
naive,3500,1092131800,0.5430880699080123
naive,4500,1779942000,0.5353709711149407
naive,2000,362400100,0.5521052474164528
naive,2000,328069500,0.49980364924648746
naive,500,23414500,0.572284203553043
naive,1500,206179600,0.5585969257765265
naive,5000,2222798700,0.5414885991199406
naive,1000,95358400,0.5817452689943505
naive,5000,2232676800,0.5438949702101193
naive,4000,1362697500,0.5187702530532056
naive,3000,793083300,0.5368724215771483
