N,ns/op
200.0,1.256175
1200.0,1.032448
3800.0,1.045038
3000.0,1.065262
3300.0,0.97079
2100.0,1.17
700.0,1.090556
3800.0,1.007106
3100.0,0.960346
2200.0,0.99401
1400.0,1.019371
1100.0,0.941736
3800.0,0.89713
4600.0,0.924552
4400.0,0.934296
3100.0,0.920432
1800.0,0.929613
1700.0,0.94168
2900.0,0.89686
900.0,0.94846
3600.0,1.070546
2900.0,1.072857
1600.0,0.962192
2000.0,0.93332
2200.0,1.027576
2900.0,0.94505
1300.0,1.071557
2300.0,0.936252
2400.0,0.934957
1900.0,0.931472
1700.0,1.019676
1800.0,1.060683
600.0,0.922707
4700.0,0.92788
1800.0,0.964445
200.0,1.006921
800.0,0.925146
4900.0,0.90997
2200.0,0.987808
3200.0,0.914755
1600.0,1.047661
400.0,1.047929
1300.0,1.059062
3400.0,0.930479
4400.0,0.925342
4800.0,0.982382
2500.0,0.871142
2000.0,1.023139
2300.0,0.972948
3900.0,0.935792
2800.0,0.933672
4200.0,0.958505
4400.0,0.945404
3100.0,0.963959
4300.0,0.982817
2300.0,0.971474
3600.0,0.939208
2200.0,0.933628
2300.0,0.913371
500.0,1.086503
4300.0,0.948452
2200.0,0.973788
2800.0,0.86163
1600.0,1.079995
3400.0,1.02426
2500.0,0.992338
2500.0,0.931313
3000.0,0.966767
2700.0,1.036893
1700.0,0.9427
300.0,1.069639
2400.0,1.001198
1200.0,0.912788
2400.0,0.893856
2700.0,0.89923
4300.0,0.947404
1500.0,0.938586
1900.0,0.872608
600.0,0.997572
3200.0,1.034204
3000.0,0.910376
3000.0,0.973673
4800.0,0.919283
4800.0,0.983092
4200.0,0.991366
3600.0,0.947548
2100.0,1.014319
900.0,0.94724
2400.0,0.957164
4900.0,0.990338
3200.0,0.976934
900.0,1.061558
800.0,1.085158
4200.0,0.99502
4600.0,0.949652
3100.0,1.044111
800.0,0.906388
500.0,0.868258
2800.0,0.993186
100.0,1.165683
3200.0,1.024637
3600.0,0.959961
3200.0,0.951052
1500.0,1.007208
3400.0,0.988596
4600.0,0.885392
600.0,1.049266
600.0,1.0702
2400.0,0.978261
2100.0,0.976921
3100.0,1.006687
100.0,1.07498
500.0,1.040814
3800.0,0.95481
500.0,1.045942
1100.0,0.987712
200.0,0.854539
300.0,0.888969
3700.0,0.906266
1500.0,0.931268
700.0,1.213617
1400.0,0.974339
2100.0,0.941846
2600.0,1.02903
1900.0,1.004367
3800.0,0.981302
4700.0,0.967027
2700.0,0.94739
3900.0,0.924439
4500.0,0.97244
4500.0,0.95095
1300.0,0.897401
2200.0,0.884738
800.0,0.913405
900.0,0.907535
3400.0,0.909658
2600.0,0.946842
3500.0,1.010974
